timestamp,1_executor_shuffleBytesWritten_count,1_jvm_direct_count_value,1_jvm_heap_committed_value,1_jvm_heap_used_value,1_jvm_pools_PS-Survivor-Space_committed_value,1_jvm_pools_PS-Survivor-Space_used_value,2_executor_bytesWritten_count,2_jvm_heap_committed_value,2_jvm_heap_used_value,2_jvm_pools_PS-Old-Gen_used_value,2_jvm_pools_PS-Survivor-Space_committed_value,3_NettyBlockTransfer_shuffle-server_usedDirectMemory_value,3_executor_bytesWritten_count,3_jvm_heap_committed_value,3_jvm_heap_used_value,3_jvm_pools_PS-Eden-Space_committed_value,3_jvm_pools_PS-Eden-Space_used_value,3_jvm_pools_PS-Old-Gen_used_value,3_jvm_pools_PS-Survivor-Space_committed_value,driver_DAGScheduler_job_activeJobs_value,driver_DAGScheduler_job_allJobs_value,driver_DAGScheduler_messageProcessingTime_m15_rate,driver_DAGScheduler_messageProcessingTime_m5_rate,driver_DAGScheduler_stage_waitingStages_value,driver_LiveListenerBus_listenerProcessingTime_org_apache_spark_HeartbeatReceiver_mean_rate,driver_jvm_non-heap_committed_value,driver_jvm_pools_Metaspace_committed_value,driver_jvm_pools_PS-Old-Gen_usage_value,node5_MEM_active,node6_CPU002_Idle%,node6_CPU002_Sys%,node6_CPU004_Idle%,node6_CPU006_Idle%,node6_MEM_active,node6_MEM_memfree,node6_NETPACKET_ib0-read/s,node6_NET_ib0-read-KB/s,node6_NET_ib0-write-KB/s,node7_CPU002_Idle%,node7_MEM_memfree,node8_CPU004_Idle%,node8_CPU006_Idle%,node8_PROC_pswitch,is_anomaly
2018-05-04 03:44:19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.397282,76480512.0,59768832.0,0.000258067445386,10918.4,96.0,4.0,96.8,99.0,101502.5,636754.5,4053.8,233971.0,111.5,100.0,728275.5,98.0,96.0,16704.3,0
2018-05-04 03:44:20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1504182272.0,222849280.0,35088424.0,89128960.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.585511,77332480.0,60293120.0,0.000258067445386,10918.9,99.0,0.0,89.1,78.0,101843.4,636417.7,143.6,21.8,126.7,92.9,727907.3,90.0,97.0,21825.1,0
2018-05-04 03:44:21,0.0,6.0,1519910912.0,331673464.0,89128960.0,0.0,0.0,1504182272.0,271888176.0,35088424.0,89128960.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,0.0,0.0,1.0,2.197121,86507520.0,67895296.0,0.0016247829688446,10919.1,99.0,1.0,100.0,83.8,101887.2,636370.8,456.6,50.6,204.0,93.0,727470.5,97.0,100.0,8296.9,0
2018-05-04 03:44:22,220850.0,5.0,2307915776.0,300541568.0,89128960.0,0.0,0.0,1504182272.0,328077520.0,35088424.0,89128960.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,0.0144039999999999,0.042974,1.0,19.348475,90046464.0,69206016.0,0.0016247829688446,10919.2,99.0,1.0,96.0,98.0,101932.3,636304.7,441.7,3321.9,207.8,80.2,726933.5,92.0,99.0,28512.8,0
2018-05-04 03:44:23,222874.0,11.0,2307915776.0,975137960.0,89128960.0,0.0,0.0,2251816960.0,183101688.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,0.0144039999999999,0.042974,0.0,21.833789000000003,91684864.0,69468160.0,0.0016247829688446,10995.5,98.0,1.0,85.0,65.0,102091.5,636095.2,437.5,3281.3,30.5,81.4,726579.2,96.0,96.0,26097.7,0
2018-05-04 03:44:24,222874.0,11.0,2307915776.0,988072208.0,89128960.0,0.0,0.0,2251816960.0,210025112.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,3.0,0.0144039999999999,0.042974,0.0,46.538644,98369536.0,72351744.0,0.0016247829688446,10995.3,91.0,0.0,91.0,97.0,102320.7,635867.4,249.3,20.0,1073.7,100.0,726558.4,97.0,96.0,17071.4,0
2018-05-04 03:44:25,222874.0,11.0,2307915776.0,989862768.0,89128960.0,0.0,0.0,2251816960.0,558850712.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,2.0,4.0,0.0144039999999999,0.042974,1.0,44.150983,99418112.0,73400320.0,0.0016247829688446,10995.3,98.0,0.0,92.0,88.1,102336.9,635850.5,277.1,6539.1,6330.5,100.0,726538.0,99.0,100.0,3114.1,0
2018-05-04 03:44:26,222874.0,11.0,2307915776.0,1004553056.0,89128960.0,0.0,254.0,2251816960.0,719689080.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,4.0,0.0144039999999999,0.042974,0.0,47.51066,100270080.0,73924608.0,0.0016247829688446,10995.3,93.1,1.0,93.1,80.8,102511.1,635679.2,495.5,60.6,3228.9,99.0,726494.5,94.9,92.9,31436.3,0
2018-05-04 03:44:27,222874.0,11.0,2307915776.0,1006343616.0,89128960.0,0.0,254.0,2251816960.0,735091824.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,4.0,0.700195,2.088498,0.0,44.714784,100335616.0,73924608.0,0.0016247829688446,10995.3,100.0,0.0,100.0,100.0,102533.1,635657.6,126.6,3261.0,6295.3,100.0,726486.5,98.0,99.0,6932.4,0
2018-05-04 03:44:28,222874.0,11.0,2307915776.0,1016259688.0,89128960.0,0.0,254.0,2251816960.0,736375400.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,4.0,0.700195,2.088498,0.0,42.1934,100401152.0,73924608.0,0.0016247829688446,10995.3,100.0,0.0,100.0,100.0,102579.1,635612.1,124.6,3270.3,6331.1,100.0,726478.5,98.0,100.0,1911.1,0
2018-05-04 03:44:29,222874.0,11.0,2307915776.0,1031018088.0,89128960.0,0.0,254.0,2251816960.0,738942512.0,105805552.0,84410368.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,4.0,0.700195,2.088498,0.0,39.95975,100466688.0,73924608.0,0.0016247829688446,10995.3,100.0,0.0,100.0,100.0,102617.2,635574.1,34.9,2.2,3151.5,100.0,726460.0,100.0,100.0,1585.8,0
2018-05-04 03:44:30,284763.0,11.0,2519203840.0,739413496.0,89128960.0,89102464.0,254.0,2494038016.0,290549056.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,2.0,5.0,0.700195,2.088498,1.0,39.098455,100859904.0,73924608.0,0.0016247829688446,10995.4,96.0,2.0,98.0,98.0,102560.4,635630.5,397.8,55.5,6484.6,95.0,726226.8,99.0,99.0,3688.6,0
2018-05-04 03:44:31,284763.0,16.0,2519203840.0,856606024.0,89128960.0,89102464.0,254.0,2494038016.0,317328168.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,2.0,5.0,0.700195,2.088498,0.0,42.163909,101842944.0,74186752.0,0.0016247829688446,10995.7,98.0,0.0,96.0,90.0,102839.4,635349.8,2065.7,3552.0,6903.2,98.0,726196.3,97.0,99.0,10369.7,0
2018-05-04 03:44:32,284763.0,16.0,2519203840.0,864709280.0,89128960.0,89102464.0,254.0,2494038016.0,325218400.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,5.0,0.810443,2.394466,0.0,40.889299,102367232.0,74448896.0,0.0016247829688446,10995.7,99.0,0.0,97.0,100.0,104307.6,633880.1,122.7,3266.9,6485.3,100.0,726192.3,100.0,97.0,2488.7,0
2018-05-04 03:44:33,284763.0,16.0,2519203840.0,866196672.0,89128960.0,89102464.0,254.0,2494038016.0,344183208.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,5.0,0.810443,2.394466,0.0,39.179141,102432768.0,74448896.0,0.0016247829688446,10995.7,28.0,19.0,28.7,28.7,119076.3,619095.7,98.7,3262.1,3258.1,90.0,726188.5,100.0,100.0,1883.0,0
2018-05-04 03:44:34,284763.0,16.0,2519203840.0,874350008.0,89128960.0,89102464.0,254.0,2494038016.0,345396576.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,5.0,0.810443,2.394466,0.0,37.618176,102760448.0,74711040.0,0.0016247829688446,10995.7,14.0,28.0,14.0,14.0,115212.3,622959.4,127.5,3263.2,6507.8,99.0,726185.0,100.0,91.0,1725.9,0
2018-05-04 03:44:35,329135.0,48.0,2519203840.0,1359735168.0,89128960.0,89102464.0,471.0,2494038016.0,1028610184.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,2.0,6.0,0.810443,2.394466,1.0,37.209718,103284736.0,74711040.0,0.0016247829688446,10995.7,47.5,7.9,48.0,48.0,124418.8,613731.7,696.1,6558.1,6608.7,92.9,726063.0,99.0,100.0,3636.5,0
2018-05-04 03:44:36,329135.0,48.0,2519203840.0,1361222560.0,89128960.0,89102464.0,471.0,2494038016.0,1045784064.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,6.0,0.810443,2.394466,0.0,40.501248,103874560.0,74973184.0,0.0016247829688446,10995.7,5.9,20.8,5.9,5.9,138396.6,599607.1,174.3,3267.6,3281.2,99.0,726059.9,98.0,97.0,22147.3,0
2018-05-04 03:44:37,329135.0,48.0,2519203840.0,1368642784.0,89128960.0,89102464.0,471.0,2494038016.0,1053670408.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,6.0,0.915648,2.682154,0.0,39.071869,103874560.0,74973184.0,0.0016247829688446,10995.7,41.4,8.1,43.0,43.4,129121.1,609022.9,181.4,6531.8,6513.2,100.0,726058.0,99.0,100.0,1806.9,0
2018-05-04 03:44:38,329135.0,48.0,2519203840.0,1376815512.0,89128960.0,89102464.0,471.0,2494038016.0,1061557232.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,6.0,0.915648,2.682154,0.0,37.714631,103940096.0,74973184.0,0.0016247829688446,10995.8,44.6,7.9,36.4,23.8,126862.7,611285.6,120.9,3246.9,6476.8,94.1,726054.4,100.0,100.0,1578.1,0
2018-05-04 03:44:39,329135.0,48.0,2519203840.0,1386639424.0,89128960.0,89102464.0,471.0,2494038016.0,1069463600.0,105813744.0,85983232.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,6.0,0.915648,2.682154,0.0,36.48917700000001,104005632.0,74973184.0,0.0016247829688446,10995.8,62.9,1.0,58.6,63.0,126862.7,611285.2,23.9,1.6,3263.1,100.0,726049.3,100.0,100.0,1459.5,0
2018-05-04 03:44:40,379205.0,44.0,2519203840.0,623494840.0,89128960.0,89117632.0,652.0,2532835328.0,768658880.0,202685152.0,8388608.0,-1,-1,-1,-1,-1,-1,-1,-1,2.0,7.0,0.915648,2.682154,0.0,36.261779,104333312.0,74973184.0,0.0016247829688446,11119.9,57.1,2.0,61.0,61.6,126862.8,611284.5,1046.3,3456.0,6882.7,100.0,725868.1,99.0,99.0,4347.0,0
