timestamp,1_jvm_heap_max_value,1_jvm_pools_PS-Eden-Space_max_value,1_jvm_pools_PS-Survivor-Space_committed_value,2_jvm_heap_committed_value,driver_BlockManager_memory_memUsed_MB_value,driver_BlockManager_memory_remainingMem_MB_value,driver_DAGScheduler_stage_waitingStages_value,node5_NET_ib0-write-KB/s,node6_CPU031_User%,node6_NETPACKET_em1-write/s,node6_NET_ib0-write-KB/s,node7_NET_ib0-read-KB/s,is_anomaly
2018-05-10 21:16:43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4,2.0,59.8,32.4,39153.8,0
2018-05-10 21:16:44,30542397440.0,11274813440.0,89128960.0,-1.0,-1.0,-1.0,-1.0,6.8,7.9,71.8,132.5,38.2,0
2018-05-10 21:16:45,30542397440.0,11274813440.0,89128960.0,1510998016.0,0.0,120522.0,1.0,97.4,30.0,68.8,495.4,39462.4,0
2018-05-10 21:16:46,30542397440.0,11274813440.0,89128960.0,2311061504.0,0.0,120522.0,1.0,0.3,11.0,40906.2,1533.1,39048.9,0
2018-05-10 21:16:47,30542397440.0,11274813440.0,89128960.0,2311061504.0,0.0,120522.0,1.0,0.3,22.0,63191.5,198.9,38903.7,0
2018-05-10 21:16:48,30542397440.0,11280056320.0,83886080.0,2311061504.0,2.0,120520.0,0.0,1.3,15.0,2176.2,522.0,39872.9,0
2018-05-10 21:16:49,30542397440.0,11280056320.0,83886080.0,2311061504.0,8.0,120513.0,0.0,0.3,15.2,248.2,383.1,39550.9,0
2018-05-10 21:16:50,30542397440.0,11280056320.0,83886080.0,2503999488.0,20.0,120501.0,0.0,8.4,5.0,50.9,69.7,3150.8,0
2018-05-10 21:16:51,30542397440.0,11280056320.0,83886080.0,2503999488.0,33.0,120489.0,0.0,8.9,22.0,282.2,267.7,38775.3,0
2018-05-10 21:16:52,30542397440.0,11280056320.0,83886080.0,2503999488.0,39.0,120482.0,0.0,0.3,17.0,101.7,208.9,2.8,0
2018-05-10 21:16:53,30542397440.0,11280056320.0,83886080.0,2503999488.0,51.0,120470.0,0.0,0.3,8.9,20.9,2224.8,3150.5,0
2018-05-10 21:16:54,30542397440.0,11280056320.0,83886080.0,2503999488.0,64.0,120458.0,0.0,1.3,0.0,39.9,40.8,81440.4,0
2018-05-10 21:16:55,30542397440.0,11280056320.0,83886080.0,2503999488.0,70.0,120451.0,0.0,19.3,2.0,96.8,39.5,84329.8,0
2018-05-10 21:16:56,30542397440.0,11280056320.0,83886080.0,2503999488.0,83.0,120439.0,0.0,0.3,18.8,565.3,1023.3,38.9,0
2018-05-10 21:16:57,30542397440.0,11280056320.0,83886080.0,2503999488.0,95.0,120426.0,0.0,1.3,0.0,43.8,33.2,2.9,0
2018-05-10 21:16:58,30542397440.0,11280056320.0,83886080.0,2503999488.0,102.0,120420.0,0.0,0.3,0.0,29.9,7.8,42283.8,0
2018-05-10 21:16:59,30542397440.0,11280056320.0,83886080.0,2503999488.0,114.0,120407.0,0.0,1.8,0.0,20.9,76.5,1.6,0
2018-05-10 21:17:00,30542397440.0,11358175232.0,68681728.0,3211264000.0,128.0,120394.0,0.0,13.8,5.9,243.2,137.1,41251.6,0
2018-05-10 21:17:01,30542397440.0,11358175232.0,68681728.0,3211264000.0,134.0,120387.0,0.0,-1.0,24.2,363.9,661.5,173880.5,0
2018-05-10 21:17:02,30542397440.0,11358175232.0,68681728.0,3211264000.0,147.0,120375.0,0.0,230685.7,0.0,88.7,80.4,111598.1,0
2018-05-10 21:17:03,30542397440.0,11358175232.0,68681728.0,3211264000.0,160.0,120362.0,0.0,2269.7,42.6,102.7,50.1,29533.3,0
2018-05-10 21:17:04,30542397440.0,11358175232.0,68681728.0,3211264000.0,166.0,120355.0,0.0,1.7,3.0,32.9,158.8,51982.8,0
2018-05-10 21:17:05,30542397440.0,11358175232.0,68681728.0,3211264000.0,179.0,120342.0,0.0,0.7,15.8,232.2,2108.9,3539.5,0
2018-05-10 21:17:06,30542397440.0,11358175232.0,68681728.0,3266314240.0,192.0,120330.0,0.0,263847.7,9.1,593.3,1163.5,98647.8,0
2018-05-10 21:17:07,30542397440.0,11358175232.0,68681728.0,3266314240.0,198.0,120323.0,0.0,150.6,2.0,236.3,103.5,86946.5,0
2018-05-10 21:17:08,30542397440.0,11358175232.0,68681728.0,3266314240.0,211.0,120311.0,0.0,7.9,4.0,69.8,7.9,45397.9,0
2018-05-10 21:17:09,30542397440.0,11358175232.0,68681728.0,3266314240.0,223.0,120298.0,0.0,4.8,2.0,4656.6,144.7,80578.0,0
2018-05-10 21:17:10,30542397440.0,11337728000.0,26214400.0,3266314240.0,230.0,120291.0,0.0,1.7,10.0,5631.3,122.4,42247.1,0
2018-05-10 21:17:11,30542397440.0,11337728000.0,26214400.0,3266314240.0,229.0,120293.0,0.0,127.7,23.0,1343.9,394.6,43430.2,0
2018-05-10 21:17:12,30542397440.0,11337728000.0,26214400.0,3266314240.0,241.0,120280.0,0.0,706.2,20.0,492.6,384.2,3246.5,0
